source_index,source_label,spectrum_role,object_name,ra_deg,dec_deg,spectrum_type,measurement_method,estimator_definition,bandpass,wavelength_um,wavelength_half_width_um,flux_mjy,flux_err_mjy,flux_raw_mjy,background_subtracted_mjy,background_mean_mjy_sr,ab_mag,ab_mag_err,global_background_wavelength_um,global_background_flux_mjy_per_display_pixel,global_background_flux_err_mjy_per_display_pixel,global_background_surface_brightness_mjysr,global_background_surface_brightness_err_mjysr,global_background_selected_pixels,global_background_selection_method,variance_ap_mjy2,variance_bg_mjy2,covariance_aperture_background_mjy2,variance_measurement_mjy2,variance_calibration_mjy2,variance_total_mjy2,uncertainty_method,uncertainty_draws,is_binned,n_fluxes_combined,n_images,image_names,mjds,aperture_radius_pix,aperture_radius_arcsec,local_background,annulus_inner_radius_pix,annulus_outer_radius_pix,annulus_inner_arcsec,annulus_outer_arcsec,background_median_mjy_per_pix,flag_names,flag_values,annulus_flag_names,annulus_flag_values,mask_mode,n_aperture_pixels,n_annulus_pixels,aperture_valid_area_sr,annulus_valid_area_sr,aperture_coverage,annulus_coverage,annulus_asymmetry,incomplete_aperture,incomplete_annulus,asymmetric_annulus,saturated_or_nonlinear,aperture_centroid_dra_arcsec,aperture_centroid_ddec_arcsec,annulus_centroid_dra_arcsec,annulus_centroid_ddec_arcsec,plausible_gaia_match,gaia_source_id,gaia_match_sep_arcsec,gaia_parallax_mas,gaia_parallax_error_mas,gaia_pmra_masyr,gaia_pmdec_masyr,gaia_bp_rp,gaia_g_mag,gaia_bp_mag,gaia_rp_mag
0,,source,P2190,240.2575,36.9388,cleaned,native_raw_mef_batch_exact_fractional,,SPHEREx-D1,0.74210,0.00889,0.29960,0.040738,1.0980,,,17.709,0.148,,,,,,,,0.0013695,0.00015259,-0.000050798,0.0016236,0.000035904,0.0016596,native_variance_monte_carlo_clipped_weighted_median,128,false,1.0000,1,level2_2025W29_1A_0587_4D1_spx_l2b-v20-2025-260.fits,60873.11084200,1.50,9.15,true,3.00,7.00,,,0.11495,SOURCE:13,0:2;2097152:13,,,mask_explicit_bits=499834615,15,160,,,1,,,false,false,false,false,1.085,0.795,0.425,0.753,false,,,,,,,,,,
0,,source,P2190,240.2575,36.9388,cleaned,native_raw_mef_batch_exact_fractional,,SPHEREx-D1,0.75156,0.00880,0.31564,0.044424,1.3486,,,17.652,0.153,,,,,,,,0.0017213,0.00017013,-0.000021084,0.0019336,0.000039853,0.0019735,native_variance_monte_carlo_clipped_weighted_median,128,false,1.0000,1,level2_2026W05_1A_0054_3D1_spx_l2b-v23-2026-030.fits,61066.24359300,1.50,9.15,true,3.00,7.00,,,0.14874,SOURCE:16,2097152:16,,,mask_explicit_bits=499834615,12,158,,,1.0000000000000002,,,false,false,false,false,0.204,-0.101,-3.546,4.042,false,,,,,,,,,,
0,,source,P2190,240.2575,36.9388,cleaned,native_raw_mef_batch_exact_fractional,,SPHEREx-D1,0.75364,0.00907,0.29307,0.036512,1.0894,,,17.733,0.135,,,,,,,,0.0013108,0.00014132,0.000076666,0.0012988,0.000034356,0.0013331,native_variance_monte_carlo_clipped_weighted_median,128,false,1.0000,1,level2_2026W29_2A_0512_2D1_spx_l2b-v25-2026-206.fits,61240.04641900,1.50,9.15,true,3.00,7.00,,,0.11452,SOURCE:15,2097152:15,,,mask_explicit_bits=499834615,15,163,,,1.0000000000000002,,,false,false,false,false,0.801,0.997,4.715,-2.566,false,,,,,,,,,,
0,,source,P2190,240.2575,36.9388,cleaned,native_raw_mef_batch_exact_fractional,,SPHEREx-D1,0.75897,0.00845,0.37045,0.044732,1.4192,,,17.478,0.131,,,,,,,,0.0016760,0.00019617,-0.000036963,0.0019461,0.000054894,0.0020010,native_variance_monte_carlo_clipped_weighted_median,128,false,1.0000,1,level2_2026W05_1A_0281_2D1_spx_l2b-v23-2026-030.fits,61067.32887100,1.50,9.15,true,3.00,7.00,,,0.15107,SOURCE:14,2097152:14,,,mask_explicit_bits=499834615,14,159,,,0.9999999999999999,,,false,false,false,false,0.061,-0.478,1.453,-1.536,false,,,,,,,,,,
0,,source,P2190,240.2575,36.9388,cleaned,native_raw_mef_batch_exact_fractional,,SPHEREx-D1,0.75946,0.00925,0.32437,0.040879,1.1092,,,17.622,0.137,,,,,,,,0.0014010,0.00014166,-0.000043202,0.0016290,0.000042085,0.0016711,native_variance_monte_carlo_clipped_weighted_median,128,false,1.0000,1,level2_2025W29_1A_0212_1D1_spx_l2b-v20-2025-260.fits,60871.13618000,1.50,9.15,true,3.00,7.00,,,0.11295,SOURCE:11,0:4;2097152:11,,,mask_explicit_bits=499834615,14,162,,,1,,,false,false,false,false,0.076,-0.222,-2.816,3.228,false,,,,,,,,,,
0,,source,P2190,240.2575,36.9388,cleaned,native_raw_mef_batch_exact_fractional,,SPHEREx-D1,0.76897,0.00908,0.21945,0.041195,1.2603,,,18.047,0.204,,,,,,,,0.0013998,0.00022231,-0.000027839,0.0016778,0.000019263,0.0016970,native_variance_monte_carlo_clipped_weighted_median,128,false,1.0000,1,level2_2026W05_1A_0054_4D1_spx_l2b-v23-2026-030.fits,61066.24508500,1.50,9.15,true,3.00,7.00,,,0.14979,SOURCE:15,2097152:15,,,mask_explicit_bits=499834615,15,157,,,1,,,false,false,false,false,0.576,0.119,-4.488,-2.211,false,,,,,,,,,,
0,,source,P2190,240.2575,36.9388,cleaned,native_raw_mef_batch_exact_fractional,,SPHEREx-D1,0.77102,0.00942,0.23952,0.037474,1.0567,,,17.952,0.170,,,,,,,,0.0013331,0.00013448,0.000043131,0.0013813,0.000022948,0.0014043,native_variance_monte_carlo_clipped_weighted_median,128,false,1.0000,1,level2_2026W29_2A_0512_3D1_spx_l2b-v25-2026-206.fits,61240.04791100,1.50,9.15,true,3.00,7.00,,,0.11754,SOURCE:16,2097152:16,,,mask_explicit_bits=499834615,14,156,,,1.0000000000000002,,,false,false,false,false,-0.290,-0.096,2.543,1.199,false,,,,,,,,,,
0,,source,P2190,240.2575,36.9388,cleaned,native_raw_mef_batch_exact_fractional,,SPHEREx-D1,0.77631,0.00909,0.34693,0.041018,1.4025,,,17.549,0.128,,,,,,,,0.0014799,0.00017204,0.0000087885,0.0016344,0.000048145,0.0016825,native_variance_monte_carlo_clipped_weighted_median,128,false,1.0000,1,level2_2026W05_1A_0281_3D1_spx_l2b-v23-2026-030.fits,61067.33036300,1.50,9.15,true,3.00,7.00,,,0.15217,SOURCE:14,2097152:14,,,mask_explicit_bits=499834615,14,158,,,0.9999999999999999,,,false,false,false,false,-0.296,0.089,-3.417,-3.794,false,,,,,,,,,,
0,,source,P2190,240.2575,36.9388,cleaned,native_raw_mef_batch_exact_fractional,,SPHEREx-D1,0.77698,0.00960,0.28343,0.038468,1.0869,,,17.769,0.147,,,,,,,,0.0013164,0.00014792,0.0000083424,0.0014477,0.000032134,0.0014798,native_variance_monte_carlo_clipped_weighted_median,128,false,1.0000,1,level2_2025W29_1A_0212_2D1_spx_l2b-v20-2025-260.fits,60871.13767200,1.50,9.15,true,3.00,7.00,,,0.11551,SOURCE:12,0:3;2097152:12,,,mask_explicit_bits=499834615,14,162,,,1,,,false,false,false,false,0.153,-0.297,-3.568,0.655,false,,,,,,,,,,
0,,source,P2190,240.2575,36.9388,cleaned,native_raw_mef_batch_exact_fractional,,SPHEREx-D1,0.78696,0.00946,0.28781,0.040872,1.4747,,,17.752,0.154,,,,,,,,0.0015338,0.00017490,0.000035674,0.0016374,0.000033135,0.0016705,native_variance_monte_carlo_clipped_weighted_median,128,false,1.0000,1,level2_2026W04_1A_0487_3D1_spx_l2b-v23-2026-023.fits,61061.42359200,1.50,9.15,true,3.00,7.00,,,0.17058,SOURCE:15,2097152:15,,,mask_explicit_bits=499834615,15,155,,,1,,,false,false,false,false,1.350,0.891,-0.227,-0.703,false,,,,,,,,,,
0,,source,P2190,240.2575,36.9388,cleaned,native_raw_mef_batch_exact_fractional,,SPHEREx-D1,0.78945,0.00975,0.27493,0.035480,1.0720,,,17.802,0.140,,,,,,,,0.0011842,0.00012480,0.000040201,0.0012286,0.000030235,0.0012588,native_variance_monte_carlo_clipped_weighted_median,128,false,1.0000,1,level2_2026W29_2A_0512_4D1_spx_l2b-v25-2026-206.fits,61240.04940400,1.50,9.15,true,3.00,7.00,,,0.11489,SOURCE:15,2097152:15,,,mask_explicit_bits=499834615,15,155,,,1,,,false,false,false,false,0.797,-0.437,-3.536,4.766,false,,,,,,,,,,
0,,source,P2190,240.2575,36.9388,cleaned,native_raw_mef_batch_exact_fractional,,SPHEREx-D1,0.79566,0.00990,0.38690,0.040295,1.1794,,,17.431,0.113,,,,,,,,0.0014229,0.00011894,-0.000011003,0.0015638,0.000059876,0.0016237,native_variance_monte_carlo_clipped_weighted_median,128,false,1.0000,1,level2_2025W29_1A_0212_3D1_spx_l2b-v20-2025-260.fits,60871.13916400,1.50,9.15,true,3.00,7.00,,,0.11428,OUTLIER:1;SOURCE:11,0:3;524288:1;2097152:11,,,mask_explicit_bits=499834615,13,161,,,0.9987405165803186,,,false,false,false,false,0.562,-0.057,-2.878,0.086,false,,,,,,,,,,
0,,source,P2190,240.2575,36.9388,cleaned,native_raw_mef_batch_exact_fractional,,SPHEREx-D1,0.80578,0.00998,0.34159,0.042167,1.4422,,,17.566,0.134,,,,,,,,0.0016347,0.00020931,0.000056279,0.0017314,0.000046674,0.0017781,native_variance_monte_carlo_clipped_weighted_median,128,false,1.0000,1,level2_2026W04_1A_0487_4D1_spx_l2b-v23-2026-023.fits,61061.42508500,1.50,9.15,true,3.00,7.00,,,0.15823,SOURCE:16,2097152:16,,,mask_explicit_bits=499834615,11,153,,,1,,,false,false,false,false,1.050,0.106,3.706,5.127,false,,,,,,,,,,
0,,source,P2190,240.2575,36.9388,cleaned,native_raw_mef_batch_exact_fractional,,SPHEREx-D1,0.80801,0.01009,0.21146,0.036007,1.0126,,,18.087,0.185,,,,,,,,0.0011479,0.00012355,-0.0000035689,0.0012786,0.000017886,0.0012965,native_variance_monte_carlo_clipped_weighted_median,128,false,1.0000,1,level2_2026W29_2A_0554_1D1_spx_l2b-v25-2026-206.fits,61240.24904600,1.50,9.15,true,3.00,7.00,,,0.11531,SOURCE:16,2097152:16,,,mask_explicit_bits=499834615,14,158,,,1,,,false,false,false,false,0.325,0.055,-3.788,5.253,false,,,,,,,,,,
0,,source,P2190,240.2575,36.9388,cleaned,native_raw_mef_batch_exact_fractional,,SPHEREx-D1,0.81357,0.00988,0.27631,0.041234,1.2612,,,17.797,0.162,,,,,,,,0.0013020,0.00013617,-0.00011577,0.0016697,0.000030539,0.0017002,native_variance_monte_carlo_clipped_weighted_median,128,false,1.0000,1,level2_2026W06_1A_0045_1D1_spx_l2b-v23-2026-037.fits,61073.16559500,1.50,9.15,true,3.00,7.00,,,0.14255,SOURCE:14,2097152:14,,,mask_explicit_bits=499834615,14,151,,,1.0000000000000002,,,false,false,false,false,-0.422,-0.484,-1.585,-5.020,false,,,,,,,,,,
0,,source,P2190,240.2575,36.9388,cleaned,native_raw_mef_batch_exact_fractional,,SPHEREx-D1,0.81419,0.01020,0.20529,0.034039,1.0159,,,18.119,0.180,,,,,,,,0.0010936,0.00011908,0.000035471,0.0011418,0.000016857,0.0011586,native_variance_monte_carlo_clipped_weighted_median,128,false,1.0000,1,level2_2025W29_1A_0212_4D1_spx_l2b-v20-2025-260.fits,60871.14065600,1.50,9.15,true,3.00,7.00,,,0.11673,SOURCE:12,0:2;2097152:12,,,mask_explicit_bits=499834615,14,158,,,0.9999999999999999,,,false,false,false,false,0.568,-0.217,2.266,6.395,false,,,,,,,,,,
