name,source,proprietary,mjd,phase,program,coadd,cls,subclass,z,sn,EW_Hb_rest,EW_Ha_rest,Hb_area,Hb_area_err,Hb_ew,Hb_sigma,OIII_area,OIII_ew,Ha_area,Ha_area_err,Ha_ew,Ha_sigma,MgII_area,MgII_ew,cont5100,Hb_over_OIII,Ha_over_OIII
G1050515509822384128,SDSS,False,52642.0,2,legacy,False,GALAXY,AGN,0.07099942117929459,20.911069869995117,-2.4624829797502406,25.11585220120698,39.3380241394043,4.395191669464111,1.9423084259033203,177.58566284179688,196.2841796875,8.623292922973633,459.8650817871094,7.625069618225098,18.773693084716797,177.58566284179688,0.0,0.0,20.253232955932617,0.20041362580536828,2.3428535224756835
G1104553204319807488,SDSS,False,52435.0,2,legacy,False,GALAXY,AGN,0.08072289824485779,11.905322074890137,7.404761435909077,19.274526419392743,42.362247467041016,2.9031922817230225,6.370815753936768,118.94451904296875,285.6249694824219,30.894502639770508,160.1032257080078,3.7875819206237793,16.18739128112793,118.94451904296875,0.0,0.0,6.649422645568848,0.14831423017324155,0.560536517511509
G1502090984710760448,SDSS,False,52764.0,2,legacy,False,GALAXY,AGN,0.19677771627902985,11.605870246887207,22.243838506810036,92.85840565907849,303.41119384765625,7.1010212898254395,24.607778549194336,147.3599090576172,3026.8310546875,203.5355682373047,988.135986328125,11.663905143737793,65.27124786376953,147.3599090576172,0.0,0.0,12.329889297485352,0.10024054476967874,0.3264589164293953
G1595565147437426688,SDSS,False,53141.0,2,legacy,False,GALAXY,AGN,0.08507822453975677,25.25119972229004,3.2655288340900213,28.959969062949405,74.78130340576172,3.2418296337127686,3.8518264293670654,138.4013671875,203.6700439453125,9.276651382446289,371.0947265625,4.722141265869141,17.863950729370117,138.4013671875,0.0,0.0,19.414505004882812,0.36716888727063496,1.822038820113098
G1603420604420089856,SDSS,False,52912.0,2,legacy,False,GALAXY,AGN,0.05714548006653786,17.721006393432617,0.28258580399958244,7.200072269967379,14.979083061218262,3.5885043144226074,0.997017502784729,150.70211791992188,42.333560943603516,2.3552017211914062,66.65962219238281,4.382094383239746,3.6414501667022705,150.70211791992188,0.0,0.0,15.02389144897461,0.35383470531036343,1.5746282785231867
G1896117752045791232,SDSS,False,53239.0,2,legacy,False,GALAXY,AGN,0.09492520242929459,16.417293548583984,5.9051788117838155,30.13689321231462,77.7265853881836,4.531986713409424,4.650175094604492,177.8270263671875,877.2984008789062,49.28971481323242,408.6123962402344,6.645131587982178,23.94794273376465,177.8270263671875,0.0,0.0,16.714765548706055,0.08859765994137749,0.4657621578141179
G1899480058955851776,SDSS,False,53260.0,2,legacy,False,GALAXY,AGN,0.05913710594177246,15.070297241210938,-1.7412883345152679,23.613863933165952,48.457523345947266,2.6012630462646484,4.612128257751465,87.13996887207031,270.35235595703125,20.943527221679688,203.74484252929688,3.418686866760254,19.00904655456543,87.13996887207031,0.0,0.0,10.506543159484863,0.17923839862393845,0.7536270279874286
G1959231915332495360,SDSS,False,53050.0,2,legacy,False,GALAXY,AGN,0.13468942046165466,12.099295616149902,6.796401650244491,52.085904541299584,54.721431732177734,3.567261219024658,6.62139892578125,179.95751953125,198.7718505859375,19.505517959594727,186.61367797851562,4.818248271942139,15.839865684509277,179.95751953125,0.0,0.0,8.264330863952637,0.27529769215746847,0.9388335291361319
G2012133841531070464,SDSS,False,54465.0,2,legacy,False,GALAXY,AGN,0.11617176979780197,13.858992576599121,0.8591823838741623,23.014354174764847,49.37531661987305,3.30316424369812,4.731841087341309,144.42874145507812,278.7749938964844,22.942689895629883,254.298095703125,5.434637069702148,20.76949119567871,144.42874145507812,0.0,0.0,10.434694290161133,0.17711529979696547,0.9121983724176917
G2193349557516003328,SDSS,False,53388.0,2,legacy,False,GALAXY,AGN,0.13218913972377777,9.882993698120117,7.816937228030583,20.914966031472357,13.618566513061523,2.5515999794006348,1.4963879585266113,101.49763488769531,199.43687438964844,25.082780838012695,87.14291381835938,3.213707685470581,9.772205352783203,101.49763488769531,0.0,0.0,9.100959777832031,0.06828509800276122,0.43694484324952115
G2641525895965206528,SDSS,False,53734.0,2,legacy,False,GALAXY,AGN,0.18939103186130524,13.297141075134277,4.084849040792346,22.53583272554379,16.944477081298828,3.3538150787353516,1.7655593156814575,169.54751586914062,54.09012985229492,4.752899646759033,85.07110595703125,5.857633590698242,6.867661952972412,169.54751586914062,0.0,0.0,9.59722900390625,0.313263753064921,1.5727657927488203
G2728138282138363904,SDSS,False,54149.0,2,legacy,False,GALAXY,AGN,0.04584118351340294,20.737693786621094,7.382571963161443,49.38444585915707,69.06758880615234,4.137579917907715,3.9313881397247314,163.31903076171875,284.08465576171875,13.693178176879883,236.07797241210938,5.51305627822876,13.34229850769043,163.31903076171875,0.0,0.0,17.56824493408203,0.2431232641585685,0.8310127549096638
G486460534498027520,SDSS,False,51884.0,2,legacy,False,GALAXY,AGN,0.10668540000915527,18.451398849487305,4.942412813811866,25.678231193794257,25.485342025756836,3.3091466426849365,2.068136215209961,179.01077270507812,103.18975067138672,6.838054180145264,126.33644104003906,4.820812225341797,8.249581336975098,179.01077270507812,0.0,0.0,12.322854995727539,0.2469755170444812,1.2243119129375961
G4931652796468713472,SDSS,False,55857.0,2,legacy,False,GALAXY,AGN BROADLINE,0.13442619144916534,24.58281898498535,5.735966992985865,37.93717262143234,40.70314025878906,2.225661277770996,3.536416530609131,219.4634246826172,308.2515563964844,26.545276641845703,221.55442810058594,3.8872318267822266,14.704883575439453,219.4634246826172,0.0,0.0,11.509713172912598,0.13204520598246453,0.7187455294325086
G4985532720090470400,SDSS,False,56189.0,2,legacy,False,GALAXY,AGN,0.08776755630970001,25.41823959350586,7.892539719508255,36.810685462064775,58.620330810546875,1.8263235092163086,5.490326881408691,139.02984619140625,862.457275390625,78.83010864257812,299.24627685546875,3.528014659881592,19.9464111328125,139.02984619140625,0.0,0.0,10.677020072937012,0.06796896783553306,0.3469693924489579
G507897438229522432,SDSS,False,51908.0,2,legacy,False,GALAXY,AGN BROADLINE,0.06744681298732758,33.261924743652344,2.8575254569787703,20.867743945188458,87.91191101074219,5.27746057510376,2.5707240104675293,221.5542449951172,299.6191101074219,7.644423007965088,450.8348388671875,9.000246047973633,9.75912857055664,221.5542449951172,0.0,0.0,34.19733428955078,0.2934122292106912,1.5046932043338308
G547284143793268736,SDSS,False,51910.0,2,legacy,False,GALAXY,AGN BROADLINE,0.1640462428331375,17.551210403442383,4.1530204086810985,23.606395957116973,33.06621551513672,4.463133811950684,1.9799386262893677,224.10296630859375,516.9060668945312,29.519105911254883,218.85110473632812,7.676492691040039,11.367534637451172,224.10296630859375,0.0,0.0,16.700626373291016,0.06396948620431553,0.423386604941865
G5632915812723742720,SDSS,False,55715.0,2,legacy,False,GALAXY,AGN,0.10427389293909073,21.38563346862793,8.611510831538157,36.5492201511576,56.78317642211914,2.4086005687713623,5.336672782897949,207.11312866210938,607.0613403320312,55.94267272949219,354.4571228027344,5.244076251983643,25.619131088256836,207.11312866210938,0.0,0.0,10.640183448791504,0.09353779041679984,0.5838901265049502
G5656716943262242816,SDSS,False,55854.0,2,legacy,False,GALAXY,AGN,0.1553897261619568,26.694866180419922,11.251652395807259,25.55364722335004,27.68783187866211,2.027843952178955,2.2719829082489014,217.48443603515625,147.43179321289062,11.942030906677246,129.85679626464844,3.1881351470947266,9.104494094848633,217.48443603515625,0.0,0.0,12.186637878417969,0.18780095714281278,0.8807923544491927
