name,n_frames,n_visits,mjd_first_neo,mjd_last_neo,w1_first,w1_last,dw1_neowise,w1_slope_2yr,w1_amp_visits,w1_flux_last_mjy,w2_last
P1,750,22,56670.48328537,60482.23003618,13.805,13.714,-0.0909999999999993,0.06826885963407853,0.27149999999999963,1.0118514963280036,12.675
P10,740,22,56667.38654883,60478.20195684,14.799,14.651,-0.1479999999999997,0.07445820479914264,0.19500000000000028,0.42689078320156487,13.852
P100,471,22,56692.98436079,60503.20925895,12.273,12.2625,-0.010500000000000398,-0.021141791226247462,0.08499999999999908,3.8522705292771433,11.1675
P1000,318,22,56698.588253185,60512.07197965,13.928999999999998,14.058,0.12900000000000134,0.033805861482683705,0.17249999999999943,0.7370836508091118,12.9155
P10000,259,21,56654.3862135,60493.36839877,14.436,14.9125,0.4764999999999997,-0.004820732669748785,0.6050000000000004,0.33551873696612344,14.172
P10002,203,20,56654.979482,60493.911176665,13.4,13.516,0.11599999999999966,-0.1829913615171397,0.34450000000000003,1.2142742299448306,12.531
P10003,261,22,56654.94650141,60493.94313846,14.06,14.198,0.1379999999999999,0.12115017042409816,0.33150000000000013,0.6479131258491222,13.57
P10004,259,22,56658.37247088,60497.58290002,14.2415,14.257,0.015499999999999403,-0.010937036917482566,0.291500000000001,0.6136444041995973,13.4225
P10005,261,22,56652.606344390006,60488.96123601,13.543,13.742,0.19900000000000162,0.04956745187534606,0.2889999999999997,0.9860905077888406,12.84
P10006,269,22,56654.81464273,60493.75162237,14.9465,15.0115,0.0649999999999995,0.044805726744813666,0.36100000000000065,0.30627868814796383,13.924
P10007,273,21,56672.2138745,60509.51179109,14.991499999999998,14.796,-0.19549999999999912,-0.0755935518862598,0.4215,0.3735225090955023,13.868
P1001,402,22,56694.46740303,60507.6752747,14.918,14.7845,-0.13349999999999973,-0.04666094153548656,0.3470000000000013,0.3774998455314183,13.955
P10010,282,22,56667.43710199,60505.1737866,14.887,15.022,0.1349999999999998,-0.10113159325347412,0.4350000000000005,0.3033309870055297,14.1735
P10011,265,22,56672.31275259,60509.41635153,15.307,15.457,0.15000000000000036,-0.019921921280596475,0.24649999999999928,0.20319675975412893,14.439
P10013,292,22,56671.35701604,60508.39599434,14.9205,14.974,0.05349999999999966,0.21325580769645283,0.3414999999999999,0.3170419848571901,14.387
P10015,287,22,56652.34269075,60490.81425613,13.924,13.825,-0.0990000000000002,0.08535175348468928,0.23799999999999955,0.9135173040223126,12.693
P10016,287,22,56652.44150514,60490.81419273499,14.715,14.678,-0.036999999999999034,0.012837287467797357,0.2959999999999994,0.416405807871707,13.6765
P10018,284,21,56667.43684731,60298.79527215,14.702,14.693,-0.009000000000000341,-0.014535927549222883,0.18349999999999866,0.41069250600155643,13.8995
P1002,416,22,56694.82980763,60505.793030639994,14.226,14.3585,0.1324999999999985,-0.038207255627159306,0.25849999999999973,0.5588776964625477,13.464
P10020,283,22,56662.23075396,60501.72876534,15.279,15.1485,-0.13049999999999962,0.048683072500086,0.38599999999999923,0.26997079053994605,14.1135
P10022,275,22,56668.22608911,60505.43049958,14.1395,14.295,0.15549999999999997,-0.014815524545953805,0.3680000000000003,0.5925387790310269,13.424
P10023,278,22,56662.46136338,60502.04787399,15.413,15.362,-0.051000000000000156,0.03596802842354044,0.23800000000000132,0.22177713983134376,14.339
P10024,246,21,56654.12243247,60492.953532215,15.262,15.49,0.22799999999999976,-0.15103704146929983,0.44950000000000045,0.19711368554183598,14.226
P10025,254,21,56654.02361803,60492.88967228,15.224,15.347,0.12299999999999933,0.062222145969164394,0.33699999999999974,0.22486236717111516,14.365
P10028,272,22,56658.20966909,60497.38947391,11.9615,11.917,-0.04449999999999932,-0.13133810464228576,0.3650000000000002,5.2956195678149625,11.211
P10029,283,22,56658.11091836,60497.32555036,14.019,14.108,0.08900000000000041,0.044554352727059016,0.25,0.7039094218003156,13.119
P1003,335,22,56698.39049721,60511.97654005,14.938,14.986,0.04800000000000004,-0.16328061508430106,0.4610000000000003,0.3135572004500015,14.1905
P10030,275,22,56657.649444825,60496.75112891,13.317,13.265,-0.0519999999999996,0.07843127402641166,0.15149999999999864,1.5300893004990472,12.212
P10031,252,22,56656.69256221,60495.82684707,14.014,14.1125,0.09850000000000136,0.019180478799366456,0.21550000000000047,0.7009979989723549,13.024
P10032,259,22,56656.890127399995,60495.98646505,12.8255,12.908,0.08249999999999957,0.012968751054056652,0.14550000000000018,2.1257724693730533,12.055
P10035,150,22,56656.1650003,60495.34888462,14.236,14.258,0.021999999999998465,0.07300835156229785,0.16249999999999964,0.6130794770151122,13.15
P10036,249,21,56653.95829358,60492.7932139,13.745,13.5275,-0.21749999999999936,0.17912282003940558,0.7240000000000002,1.2014806428874514,12.867
P10038,276,22,56659.13312536,60498.409895255,13.399,13.429,0.030000000000001137,0.04003625714196958,0.12899999999999956,1.3155785330131333,12.396
P10044,284,22,56671.48944772,60508.55484803,14.1065,14.2365,0.129999999999999,-0.03124052486863954,0.20650000000000013,0.6253408192353028,13.186
P10045,300,22,56667.8328689,60505.14125176,14.516,14.613,0.09699999999999953,0.06811790508258919,0.21950000000000003,0.44209619620913776,13.555
P10047,314,22,56670.6325892,60507.69399353,14.468,14.5705,0.10249999999999915,-0.03922919206698942,0.30400000000000027,0.4597447496742032,13.652
P10049,270,22,56663.2199804,60502.49330208,14.3345,14.174499999999998,-0.16000000000000192,0.09752377086814523,0.46300000000000097,0.6620896185258324,13.6
P1005,468,22,56686.95662975,60496.66619444,14.229500000000002,14.3075,0.07799999999999763,0.03612961240275306,0.1999999999999993,0.5857560437153659,13.3225
P10050,272,22,56663.02241528,60502.398117075,14.594,14.502,-0.09199999999999875,-0.04751557328700889,0.2964999999999982,0.48968497442300074,13.835
P10051,289,22,56662.98930730501,60502.49330208,13.943,13.8055,-0.1374999999999993,0.0015433050474791704,0.2724999999999991,0.9300724458875522,13.0535
P10052,268,22,56662.75857056,60502.2386259,13.8755,13.416,-0.45950000000000024,0.022560293175150663,0.5274999999999999,1.331425217273063,12.434
P10054,283,21,56666.64505862,60300.08457045,14.491,14.468,-0.022999999999999687,-0.15951228021556324,0.2870000000000008,0.5052621645403913,13.422
