name,visit,mjd,w1,w1err,w2,n
P1060,315.0,56664.12541798,13.7335,0.020095535693570265,12.828,24
P1060,316.0,56840.52226255,13.806,0.012993975276617992,12.945,47
P1060,317.0,57028.53085483,13.743,0.013508948609962143,12.897,33
P1060,318.0,57202.0501696,13.672,0.025252098532258273,12.84,39
P1060,319.0,57393.248737664995,13.806999999999999,0.014675702279568686,12.945,34
P1060,320.0,57560.852570415,13.803,0.010865974832704208,12.9455,54
P1060,321.0,57757.34907953,13.855,0.016760197657837806,13.027,33
P1060,322.0,57921.50722697,13.887,0.011370327858439718,13.036,37
P1060,323.0,58121.675058370005,14.056999999999999,0.021329251158595013,13.1715,34
P1060,324.0,58281.61963563,14.013,0.021877143746672937,13.190000000000001,34
P1060,325.0,58488.502450755,14.100999999999999,0.02834451394978916,13.244,16
P1060,326.0,58648.32053,14.082,0.0191182836735666,13.305,41
P1060,327.0,58852.91017438,13.9485,0.022347302529674512,13.175,20
P1060,328.0,59012.970492880006,13.8915,0.013088075695293203,13.1465,38
P1060,329.0,59216.99912016,13.909,0.025977987058898845,13.129,17
P1060,330.0,59377.28043045,13.992,0.02017608702150184,13.213,39
P1060,331.0,59584.118310235004,13.9185,0.02369265148258685,13.178,14
P1060,332.0,59744.33896737,13.8705,0.01667275423030487,13.113,36
P1060,333.0,59948.21125491,13.85,0.0248744816090946,13.066,17
P1060,334.0,60108.38589718,13.814,0.015465327693131638,13.129,37
P1060,335.0,60314.62339802,13.773,0.01789141301597087,13.044,23
P1060,336.0,60472.7023605,13.743,0.01668072687636674,13.037,41
P1170,315.0,56688.306343560005,14.8295,0.033493283188235315,13.4825,20
P1170,316.0,56865.683347515005,14.836,0.03123947694272265,13.5735,24
P1170,317.0,57050.772888834996,14.7945,0.04061501189599024,13.5795,20
P1170,318.0,57224.64903424,14.842500000000001,0.030422522346746163,13.613,26
P1170,319.0,57414.06646809,14.833,0.03387446426419794,13.615,18
P1170,320.0,57586.30268538,14.892,0.03449875143935964,13.684,25
P1170,321.0,57781.519027899994,15.001999999999999,0.04642344092223066,13.7065,22
P1170,322.0,57946.8743121,15.005500000000001,0.04760825876010326,13.724499999999999,22
P1170,323.0,58145.699708069995,15.002,0.03186482252035069,13.763,20
P1170,324.0,58307.30093042,14.957,0.04199837287197456,13.757,21
P1170,325.0,58511.994357195,14.965,0.02927363872956845,13.752500000000001,46
P1170,326.0,58671.442324460004,14.967500000000001,0.046977145756248846,13.7545,26
P1170,327.0,58876.88512749,14.939,0.025443781771658257,13.741,19
P1170,328.0,59038.43842397,15.038,0.04012701322552103,13.7715,22
P1170,329.0,59241.094591885005,15.0215,0.026884958340477324,13.7995,22
P1170,330.0,59402.63665767,15.093,0.043434745866313365,13.875,21
P1170,331.0,59608.16139426,14.997,0.042500905154866465,13.803,21
P1170,332.0,59768.44260916,14.96,0.029721078946922642,13.844,40
P1170,333.0,59972.30541338,14.824,0.02838540473233747,13.729,19
P1170,334.0,60133.84595211,14.885,0.02563451228597249,13.721499999999999,22
P1170,335.0,60336.652759239994,14.824,0.03164891059556439,13.616,22
P1170,336.0,60498.103329635,14.818999999999999,0.047786430785810824,13.7945,24
P1177,315.0,56672.59264203,14.83,0.0300562070825184,13.964,25
P1177,316.0,56852.06701059,14.837499999999999,0.022830083379020948,13.922,30
P1177,317.0,57038.97882538,14.82,0.025888720761803034,13.93,21
P1177,318.0,57210.90624241,14.857,0.028024506669702347,14.04,29
P1177,319.0,57401.70732546,14.798,0.03604798892479873,13.935,29
P1177,320.0,57569.72877876,14.812,0.030611355500588137,13.91,27
P1177,321.0,57765.93004038,14.822,0.026509691796771123,13.877,27
P1177,322.0,57930.2135692,14.786,0.027227819985299218,13.94,29
P1177,323.0,58133.065576315,14.753,0.02840730811221657,13.870999999999999,26
P1177,324.0,58293.003959765,14.764,0.02566189638890796,13.844000000000001,52
P1177,325.0,58497.107703785,14.772,0.028635586657546994,13.8255,24
P1177,326.0,58657.706274309996,14.799,0.026489242220311862,13.867999999999999,30
P1177,327.0,58861.38159188,14.804,0.027572242819531682,13.866,37
P1177,328.0,59021.895915875,14.8295,0.03302301082312671,14.059000000000001,26
P1177,329.0,59228.31183244,14.876,0.023927574808700988,13.986,27
P1177,330.0,59389.07592201501,14.872,0.032629900686507625,14.015,30
P1177,331.0,59592.546567455,14.907499999999999,0.021941268018117174,13.9785,24
P1177,332.0,59753.14602713,14.894,0.0281491473380065,14.059000000000001,33
P1177,333.0,59957.32930148,14.907,0.03574558336936761,13.987,43
P1177,334.0,60117.37136812,14.961500000000001,0.03336119228017605,14.014,32
P1177,335.0,60323.78639404,14.919,0.03245377179002458,13.974,27
P1177,336.0,60484.5294969,14.963,0.026675715024900848,13.989,29
P1184,315.0,56672.46091071,14.5115,0.02461395039280695,13.253,24
P1184,316.0,56851.83678414,14.5775,0.033907574509580096,13.324000000000002,30
P1184,317.0,57038.88026559,14.6075,0.025354952451249614,13.3575,24
P1184,318.0,57210.676588810005,14.649,0.020492457780827106,13.413499999999999,32
P1184,319.0,57401.543377195005,14.6895,0.026488076183484244,13.474,26
P1184,320.0,57569.63060131,14.7455,0.022937524128353908,13.535,42
P1184,321.0,57765.66810507,14.765,0.029163011661038404,13.485,27
P1184,322.0,57930.01721435,14.829,0.02115796236078858,13.614,33
P1184,323.0,58132.77104321,14.822,0.027049738149203625,13.614,27
P1184,324.0,58292.447811649996,14.84,0.021096280124302605,13.667,54
P1184,325.0,58496.911412105,14.818,0.028649194894432215,13.616,30
P1184,326.0,58657.60816061,14.862,0.03093331655127731,13.689,29
P1184,327.0,58861.25068847,14.811,0.029398143861548865,13.665,25
P1184,328.0,59021.73241418,14.855,0.03258720219654318,13.688,29
P1184,329.0,59228.11522256,14.834,0.02936806484799618,13.697,25
P1184,330.0,59388.8471597,14.884,0.023705643179139615,13.813,29
P1184,331.0,59592.1546209,14.925,0.029411970855699677,13.810500000000001,26
P1184,332.0,59752.917710484995,14.942499999999999,0.03874644882300448,13.836500000000001,28
P1184,333.0,59957.134028535,14.8905,0.029759523439404693,13.822,42
P1184,334.0,60117.111598974996,15.039,0.037750308034114874,13.892,30
P1184,335.0,60323.625056724995,15.0015,0.05468270518708834,13.941,28
P1184,336.0,60484.209942745,15.032,0.03910805612826769,14.0265,34
P129,315.0,56686.62567799,13.896,0.021045633024844773,13.022,23
P129,316.0,56863.90787922,13.8505,0.016130470368761873,12.9695,28
P129,317.0,57049.16257007,13.854,0.014111030816368077,12.98,21
P129,318.0,57222.74730913,13.8565,0.014901693147697116,12.975999999999999,28
P129,319.0,57412.525100165,13.9805,0.015377494387356644,13.039,24
P129,320.0,57584.01047741,14.013,0.01205384765135042,13.123,47
P129,321.0,57779.81542809,14.055,0.01642461962992764,13.132,25
P129,322.0,57944.97640937,14.0655,0.02449724839461215,13.1715,28
P129,323.0,58144.09575382,13.983,0.024877028837225715,13.151,23
P129,324.0,58305.436833175,13.936,0.016045279866761405,13.1065,24
P129,325.0,58508.361783535,13.8535,0.012942921282775898,13.0435,34
P129,326.0,58669.64412438,13.883,0.01562451428018802,13.037,27
P129,327.0,58875.18376349,14.009,0.0199976534240949,13.088000000000001,24
P129,328.0,59036.70631802,13.975,0.01679099187317931,13.126,23
P129,329.0,59239.55743101,13.956,0.016142349206121342,13.084,23
P129,330.0,59400.840113645,13.925999999999998,0.013175856289111124,13.064499999999999,26
P129,331.0,59605.74362633,13.887,0.011688625489042809,13.031,39
P129,332.0,59765.181615105,13.8895,0.012460066429118389,13.0685,28
P129,333.0,59970.64473239,13.8715,0.014649405722771213,13.016,24
P129,334.0,60132.12791009,13.973,0.013831819834475678,13.11,27
P129,335.0,60335.07236647,14.02,0.017837225028411813,13.131,29
P129,336.0,60496.22025762,13.986,0.021498064246441982,13.155,23
P1343,315.0,56672.92244789,14.631,0.02493777902367341,14.01,23
P1343,316.0,56852.26400182,14.624500000000001,0.017928479526469615,14.086,28
P1343,317.0,57039.11055676,14.5275,0.036094089147692715,13.9375,22
P1343,318.0,57211.201092915,14.619499999999999,0.032269716930947205,14.0275,26
P1343,319.0,57401.904381725006,14.657,0.024234709810567353,14.030000000000001,26
P1343,320.0,57569.99052162,14.6205,0.02567042194285371,13.967500000000001,32
P1343,321.0,57766.225147335004,14.6385,0.020154100407598307,14.1085,24
P1343,322.0,57930.40966938,14.7,0.03412878009718758,14.044,29
P1343,323.0,58133.32776541,14.6935,0.027161605937302033,14.105,26
P1343,324.0,58293.330835955,14.7025,0.01821405973058701,14.0785,44
P1343,325.0,58497.30437792,14.695,0.024429674325692853,14.1375,24
P1343,326.0,58658.032959314995,14.6745,0.03340382410721403,14.075,26
P1343,327.0,58861.545475955005,14.756,0.02634474814016836,14.1055,30
P1343,328.0,59022.222282555,14.832,0.02611926905072822,14.234,26
P1343,329.0,59228.541035265,14.767,0.03190463445918889,14.2185,24
P1343,330.0,59389.30430229,14.901,0.027038193781739637,14.213,29
P1343,331.0,59592.80824715,14.851,0.04897984892349355,14.247,21
P1343,332.0,59753.47182146,14.841000000000001,0.032733233076705885,14.291,28
P1343,333.0,59957.72042045,14.7455,0.022067466540210103,14.1695,42
P1343,334.0,60117.72778678,14.739,0.02341752480078951,14.186,31
P1343,335.0,60323.98032999,14.784,0.03076052704721987,14.161,25
P1343,336.0,60484.72126758,14.698,0.03973254663703509,14.064,29
P14236,315.0,56750.2259713,14.55,0.04284422393088579,13.685,11
P14236,316.0,56941.868717724996,14.507,0.035218022273266834,13.719999999999999,12
P14236,317.0,57112.09641097,14.5825,0.04075469025604611,13.677,12
P14236,318.0,57306.728511965004,14.529499999999999,0.046117573532326275,13.671,14
P14236,319.0,57471.205611435,14.5995,0.05466806833932896,13.774999999999999,12
P14236,320.0,57670.89517806,14.59,0.027082383376400735,13.702,13
P14236,321.0,57831.829372424996,14.57,0.040397930624410286,13.7485,12
P14236,322.0,58035.11065453,14.514,0.030905489468696264,13.685,15
P14236,323.0,58192.4471656,14.425,0.022390626224073073,13.582,11
P14236,324.0,58402.07146108,14.517,0.03737783085386017,13.67,11
P14236,325.0,58558.068814335,14.5085,0.02834690444785964,13.7,26
P14236,326.0,58766.34392777,14.526,0.031190607725348957,13.778,13
P14236,327.0,58923.56559978,14.617,0.04239326615789149,13.791,13
P14236,329.0,59133.702206905,14.576,0.02236747459996746,13.6455,32
P14236,331.0,59654.51566531,14.417,0.02048113599252085,13.584,25
P14236,333.0,59862.2741394,14.409,0.019716544022701142,13.516,29
P14236,335.0,60382.85204248,14.357,0.022545237833073373,13.52,27
P14255,316.0,56948.318188815,13.3445,0.020921747615919282,12.177,14
P14255,317.0,57115.89923535,13.325,0.020331817813796265,12.1835,12
P14255,318.0,57310.34122695,13.3305,0.021492640758149273,12.2255,12
P14255,319.0,57474.870531160006,13.328,0.012820671422884037,12.2045,12
P14255,320.0,57674.56876502,13.348,0.022316931672737503,12.18,11
P14255,321.0,57835.4586536,13.31,0.01650434200496727,12.198,11
P14255,322.0,58041.46596378,13.374,0.03140046257771185,12.214,15
P14255,323.0,58196.17207302,13.386,0.02051177970131924,12.242,13
P14255,324.0,58405.74108693,13.451,0.01754412830744901,12.321,11
P14255,325.0,58563.10121206,13.474,0.016612911742173622,12.280000000000001,12
P14255,326.0,58769.81605165,13.473,0.021734549226027237,12.321,5
P14255,327.0,58926.83105493,13.581,0.017259449305527457,12.336,19
P14255,329.0,59291.11743297,13.6435,0.019909913476781425,12.4115,24
P14255,331.0,59579.85374266,13.677,0.011248590396304721,12.443,22
P14255,333.0,59865.92988324,13.757,0.018233761913382114,12.487,23
P14255,335.0,60386.73973812,13.716999999999999,0.013753916080275902,12.467500000000001,34
P14273,315.0,56749.69841059,13.807,0.01848552103935033,12.899,11
P14273,316.0,56941.2450165,13.862,0.01944944054443058,12.967,13
P14273,317.0,57111.14334934,13.829,0.021538991836936607,12.987,17
