# name                   RA(J2000)     Dec(J2000)    z      r    tier  exposure    status  comment
P3098                  16:11:41.95  +49:58:48.0  0.116  17.5 D1   2 x 4 min   primary flat/unknown, last spec 25.3 yr ago; DR16 quasar | WHY: nan
P4178                  16:51:27.90  +40:43:40.7  0.170  18.3 D1   2 x 4 min   primary fading (IR), last spec 25.2 yr ago; DR16 quasar | WHY: nan
P3763                  16:32:48.33  +48:45:44.3  0.127  18.1 D1   2 x 4 min   primary fading (IR), last spec 25.0 yr ago; DR16 quasar | WHY: nan
P3336                  16:54:12.13  +62:53:44.0  0.106  18.2 D1   2 x 4 min   primary flat/unknown, last spec 26.3 yr ago; DR16 quasar | WHY: nan
P4693                  17:08:45.58  +59:57:16.2  0.274  18.7 D1   2 x 8 min   primary flat/unknown, last spec 26.3 yr ago; DR16 quasar | WHY: nan
P4721                  17:15:04.30  +56:47:15.8  0.191  18.1 D1   2 x 4 min   primary flat/unknown, last spec 26.0 yr ago; DR16 quasar | WHY: nan
P4971                  20:50:50.78  +00:11:59.7  0.309  19.2 K    4 x 10 min  primary fading, last spec 24.2 yr ago; DR16 quasar | WHY: nan
P5225                  21:22:16.44  -01:49:59.8  0.136  18.3 D2   2 x 4 min   primary brightening, last spec 8.9 yr ago; DR16 quasar | WHY: nan
P5180                  21:00:03.05  -00:58:47.2  0.154  18.5 D1   2 x 6 min   primary fading, last spec 24.2 yr ago; DR16 quasar | WHY: nan
P5206                  21:06:22.99  +10:56:06.6  0.095  17.7 D1   2 x 4 min   primary flat/unknown, last spec 24.0 yr ago; DR16 quasar | WHY: nan
P5408                  21:48:17.44  +00:04:19.9  0.283  18.7 D2   2 x 8 min   primary brightening, last spec 15.9 yr ago; DR16 quasar | WHY: nan
P5394                  21:45:18.38  +00:34:22.8  0.207  18.4 D1   2 x 4 min   primary fading (IR), last spec 24.2 yr ago; DR16 quasar | WHY: nan
P6051                  22:00:22.65  +11:55:16.0  0.152  18.3 D1   2 x 4 min   primary flat/unknown, last spec 24.8 yr ago; DR16 quasar | WHY: nan
